Autore,Titolo,Editore,Classificazione
vuoto,JAVA 2,McGraw-Hill Companies,Informatica
"Danny Goodman, Michael Morrison",ja<x>vascript. La guida,McGraw-Hill Companies,Informatica
vuoto,JOOMLA,Hoepli,Informatica
Sylvio Fresco,Kenya,Ulysse Network,Viaggi
Christian Jacq,KEOPS IL ROMANZO DELLA PIRAMIDE (IL TESTAMENTO DEGLI DEI TRADUCCION DE PATRICIA CHENDI),MONDADORI,Romanzo
Manfred Clauss,"L' antico Egitto. Dagli albori della civiltà egiziana alla formazione del primo Impero, il Nuovo Regno e la grande regina Cleopatra",Newton Compton,Archeologia
Sigmund Freud,L' uomo Mosè e la religione monoteistica,Bollati Boringhieri,Psicologia
Giancarlo De Cataldo,"L'India, l'elefante e me",Rizzoli,Viaggi
Richard Branson,"Screw it, let's do it",Virgin books,Autobiografico
"Lin Anderson, L. Rodin?",La bambina che giocava con il fuoco,Newton Compton,Gialli
Ernesto Che Guevara,Il pensiero di Che Guevara,Edizioni Unicopli,Politica
"Hannah Arendt, P. Bernardini",La banalità del male. Eichmann a Gerusalemme,Universale Economica. Saggi,Storia
Jonathan Coe,La banda dei brocchi,Feltrinelli,Romanzo
"Glenn Cooper, G. P. Gasperi",La biblioteca dei morti,Nord,Romanzo
Giorgio Chinnici,Guarda caso: I meccanismi segreti del mondo quantistico,hoepli,Fisica
Andrea Camilleri,La caccia al tesoro,Sellerio Editore,Romanzo
"Roland Barthes, Renzo Guidieri, R. Guidieri",La camera chiara. Nota sulla fotografia,Einaudi,Fotografia
Gerri Brightwell,La casa dei segreti,Newton Compton,Romanzo
Jonathan Coe,La Casa Del Sonno (Universale Economica) (Italian Edition),Feltrinelli,Romanzo
"Carlo Verdone, F. Maiello",La casa sopra i portici,Bompiani,Attualita
Martin Rua,La cattedrale dei nove specchi. Parthenope trilogy,Newton Compton,Romanzo
Baldassarre Mancuso,La città eterna,Fermenti,Romanzo
Andrea Camilleri,La concessione del telefono,Sellerio Editore Palermo,Romanzo
Livio Jannattoni,La cucina romana e del Lazio,Newton Compton,Cucina
Andrea Camilleri,La danza del gabbiano,Sellerio Editore,Romanzo
Pierre Dukan,La dieta Dukan,Sperling Kupfer,Dieta
Andrea Frediani,La dinastia. Il romanzo dei cinque imperatori,Newton Compton,Romanzo
Rodolfo Lanciani,La distruzione dell'antica Roma. Lo scempio dei monumenti nel corso dei secoli,Intra Moenia,Archeologia
"Dante Alighieri, L. Polacco, G. Vandelli",La Divina Commedia,Letteratura,Classici
Jonathan Coe,La Famiglia Winshaw (Universale Economica) (Italian Edition),Feltrinelli,Romanzo
Apuleio,La favola di Amore e Psiche. Testo latino a fronte,I Minimammut,Classici
"Tiziano Terzani, Folco Terzani",La fine è il mio inizio,Longanesi,Biografia
Andrea Camilleri,La forma dell'acqua,Sellerio Editore Palermo,Romanzo
Mario Pincherle,La Grande piramide e lo Zed : nuove scoperte nella piramide : come fu costruita e cosa nasconde,Macro,Archeologia
Edward N. Luttwak,La grande strategia dell'impero romano,BUR Biblioteca Univ. Rizzoli,Storia
Wilbur Smith,La legge del deserto,Longanesi,Romanzo
"Laurence Gardner, M. E. Morin",La linea di sangue del Santo Graal. La storia segreta dei discendenti del Graal,Newton Compton,Storia
"Andrea Camilleri, Tullio De Mauro",La lingua batte dove il dente duole,Laterza,Lingue
Carlo Goldoni,La locandiera,Newton Compton,Commedia
Andrea Camilleri,La luna di carta,Sellerio Editore Palermo,Romanzo
Guido Melis,La macchina imperfetta. Immagine e realtà dello Stato fascista,Collezione Di Testi E Di Studi,Storia
"Enrico Mentana, Liliana Segre",La memoria rende liberi. La vita interrotta di una bambina nella Shoah,Rizzoli,Storia
Simonetta Agnello Hornby,La Mennulara,Feltrinelli,Romanzo
"Giulietto Chiesa, Guido Cosenza, Luigi Sertorio",La menzogna nucleare. Perchè tornare all'energia atomica sarebbe gravemente rischioso e completamente inutile,Ponte alle Grazie,Ambiente
Andrea Camilleri,La mossa del cavallo,BUR Biblioteca Univ. Rizzoli,Romanzo
"Elie Wiesel, D. Vogelmann",La notte,Giuntina,Romanzo
Wilbur Smith,La notte del Leopardo,Tea,Romanzo
Roberto Riccardi,La notte della rabbia,Einaudi. Stile Libero Big,Romanzo
Andrea Camilleri,La paura di Montalbano,Mondadori,Romanzo
Jonathan Coe,La pioggia prima che cada,Feltrinelli,Romanzo
Andrea Camilleri,La pista di sabbia,Sellerio Editore Palermo,Romanzo
Antonio Gramsci,La Questione Meridionale,CreateSpace Independent Publishing Platform,Politica
Andrea Camilleri,La Regina di Pomerania: E altre storie di Vigàta,Sellerio Editore,Romanzo
Giordano Sivini,La resistenza dei vinti. Percorsi nell'Africa contadina,Feltrinelli,Sociologia
Andrea Camilleri,La rete di protezione,Sellerio Editore Palermo,Romanzo
"Irving Sloane, T. Rizzi, E. Torchio",La riparazione della chitarra. Manuale sulla riparazione delle chitarre e degli strumenti tastati,Cremonabooks,Hobby
